query,Without hash collision,results,Including depth parent child,results
"ID<1>(ID<2>, LT<3>);-->ID<1>(LT<3>, ID<2>);",1.0,0,1.0,0
EXPR = ID<1>(<...>);-->EXPR = ID<1>(<...>);,1.0,0,1.0,0
"ID<0>.ID<1>(ID, LT)-->ID<0>.ID<1>(ID, LT)", ,23/553,0.015,8/553
LT-->LT binOP LT, ,81/553,"",37/431
return;-->return ID;, ,27/28,"",27/28
System.out.println(EXPR);-->_, ,0/323,"",184/323
ID<0> * ID<1>;-->ID<0> + ID<1>;,1.0,0,1.0,0
EXPR = LT;--> EXPR = ID;,1.0,0,1.0,0
_-->import java.io.ID;, ,1733/1776,"",1775/1776
if (EXPR != null) {-->if (EXPR == null) {, ,5/5,1.0,5/5
EXPR-->try {EXPR;} catch(ID ID) {<...>}, ,0,0.132,34/38
EXPR = ID + LT;-->EXPR = LT + ID;,1.0,0,1.0,0
EXPR.ID<0>(); --> EXPR.ID<0>();, ,438,0.119,419/812
EXPR.ID<0>(EXPR<0>); --> EXPR.ID<0>(EXPR<0>);, ,737,0.000686,746/2917
"EXPR.ID<0>(EXPR<0>, EXPR<1>); --> EXPR.ID<0>(EXPR<0>, EXPR<1>);", ,401,0.0051,268/1763
"EXPR.ID<0>(EXPR<0>, EXPR<1>,EXPR<2>, EXPR<3>); --> EXPR.ID<0>(EXPR<0>, EXPR<1>, EXPR<2>, EXPR<2>);", ,0,0.0,0/13
<...> ID(<...>) throws ID { --> <...> ID(<...>) {,477,621,0.685,645/859
ID<1>.ID<0>(<...>) unOP --> ID<1>.ID<0>(<...>) unOP,1.0,0,1.0,0
ID<0>() --> ID<0>(EXPR), ,2/3,1.0,2/3
if (ID<0>) {--> if (EXPR || ID<0>) {,1.0,0,1.0,0
